Time,X,Y,Z,Surge,Sway,Heave,Roll,Pitch,Yaw,Sea surface Z,ACCx,ACCy,ACCz,PQRx,PQRy,PQRz,x velocity,y velocity,z velocity,x angular velocity,y angular velocity,z angular velocity
-8,0,0,-0.400000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.9,-5.33E-07,-1.49E-06,-0.399997711,-5.33E-07,-1.49E-06,2.30E-06,-9.60E-07,-1.37E-07,4.52E-07,6.74E-06,-5.61E-04,-0.00170705,0.002723758,-1.64E-05,-2.84E-06,9.62E-06,-2.16E-05,-6.19E-05,9.68E-05,-6.63E-07,-1.01E-07,3.35E-07
-7.8,-6.29E-06,-1.99E-05,-0.399967819,-6.29E-06,-1.99E-05,3.22E-05,-1.03E-05,-1.87E-06,6.49E-06,5.55E-05,-9.12E-04,-0.003809632,0.006754859,-2.09E-05,-5.93E-06,2.37E-05,-9.94E-05,-3.41E-04,5.68E-04,-2.67E-06,-5.57E-07,2.01E-06
-7.7,-2.08E-05,-7.60E-05,-0.399870038,-2.08E-05,-7.60E-05,1.30E-04,-3.12E-05,-6.85E-06,2.60E-05,1.92E-04,-7.81E-04,-0.00552235,0.011227636,-1.60E-05,-5.81E-06,3.51E-05,-1.88E-04,-8.11E-04,0.00146249,-4.53E-06,-1.18E-06,4.98E-06
-7.6,-4.27E-05,-1.87E-04,-0.399659455,-4.27E-05,-1.87E-04,3.41E-04,-6.14E-05,-1.49E-05,6.53E-05,4.66E-04,-2.32E-04,-0.006778314,0.016313873,-1.53E-05,-6.17E-07,4.16E-05,-2.42E-04,-0.001429965,0.002834022,-6.01E-06,-1.55E-06,8.86E-06
-7.5,-6.67E-05,-3.65E-04,-0.399285167,-6.67E-05,-3.65E-04,7.15E-04,-1.01E-04,-2.30E-05,1.28E-04,9.27E-04,6.40E-04,-0.007518489,0.02205266,-2.88E-05,1.08E-05,4.20E-05,-2.23E-04,-0.002149301,0.004747243,-8.07E-06,-1.10E-06,1.31E-05
-7.4,-8.41E-05,-6.18E-04,-0.398689926,-8.41E-05,-6.18E-04,0.00131006,-1.58E-04,-2.47E-05,2.15E-04,0.001626113,0.001713776,-0.00770699,0.028283177,-5.88E-05,2.86E-05,3.65E-05,-1.07E-04,-0.002915243,0.00726119,-1.23E-05,8.22E-07,1.71E-05
-7.3,-8.43E-05,-9.48E-04,-0.39781177,-8.43E-05,-9.48E-04,0.002188219,-2.49E-04,-9.60E-06,3.22E-04,0.002610404,0.002857733,-0.007341899,0.034627014,-9.80E-05,5.25E-05,2.67E-05,1.22E-04,-0.003672223,0.010407855,-2.01E-05,4.83E-06,2.02E-05
-7.2,-5.60E-05,-0.001350757,-0.396587729,-5.60E-05,-0.001350757,0.003412282,-3.96E-04,3.58E-05,4.45E-04,0.003923501,0.003941785,-0.0064588,0.040525584,-1.30E-04,8.13E-05,1.51E-05,4.63E-04,-0.004366365,0.014171843,-3.17E-05,1.15E-05,2.23E-05
-7.1,1.16E-05,-0.001817625,-0.394959301,1.16E-05,-0.001817625,0.005040685,-6.16E-04,1.28E-04,5.76E-04,0.005602987,0.004854337,-0.005126077,0.045327098,-1.33E-04,1.13E-04,4.89E-06,9.04E-04,-0.004949069,0.018476346,-4.52E-05,2.12E-05,2.33E-05
-7,1.27E-04,-0.002335448,-0.392879069,1.27E-04,-0.002335448,0.007120919,-9.10E-04,2.85E-04,7.10E-04,0.007679724,0.005517334,-0.003433102,0.04840746,-8.38E-05,1.46E-04,-9.33E-07,0.001424964,-0.005379741,0.023179671,-5.66E-05,3.42E-05,2.35E-05
-6.9,2.98E-04,-0.002887373,-0.390316606,2.98E-04,-0.002887373,0.009683395,-0.001248628,5.26E-04,8.44E-04,0.010177685,0.005899231,-0.001474157,0.049302183,3.55E-05,1.79E-04,-3.27E-07,0.001998003,-0.005627102,0.028084623,-5.96E-05,5.05E-05,2.33E-05
-6.8,5.28E-04,-0.003453876,-0.387263089,5.28E-04,-0.003453876,0.012736899,-0.001563039,8.69E-04,9.78E-04,0.013114492,0.006024234,6.68E-04,0.047823256,2.32E-04,2.09E-04,6.84E-06,0.002595861,-0.005668824,0.032960542,-4.69E-05,6.99E-05,2.36E-05
-6.7,8.18E-04,-0.004013584,-0.383733213,8.18E-04,-0.004013584,0.016266778,-0.001741274,0.001331924,0.001116739,0.016502469,0.005976631,0.002933912,0.044136231,4.97E-04,2.34E-04,1.79E-05,0.003196533,-0.005489712,0.037575238,-1.09E-05,9.20E-05,2.48E-05
-6.6,0.001167206,-0.004543862,-0.379763395,0.001167206,-0.004543862,0.020236611,-0.001632556,0.001928108,0.001265137,0.020349916,0.005899453,0.005293105,0.038778848,8.06E-04,2.53E-04,2.65E-05,0.003789416,-0.00507901,0.041731795,5.40E-05,1.16E-04,2.71E-05
-6.5,0.001575837,-0.005021126,-0.375406444,0.001575837,-0.005021126,0.024593547,-0.001061813,0.002668726,0.001428152,0.024662211,0.005987239,0.007737819,0.032611889,0.001117913,2.65E-04,2.28E-05,0.004380874,-0.004427756,0.045303929,1.50E-04,1.42E-04,2.97E-05
-6.4,0.002044685,-0.005420933,-0.370723188,0.002044685,-0.005420933,0.029276812,1.47E-04,0.003560589,0.001602991,0.029442361,0.006473182,0.01026829,0.026704522,0.001380487,2.69E-04,-7.10E-06,0.004998793,-0.003527169,0.048263031,2.76E-04,1.69E-04,3.08E-05
-6.3,0.002578822,-0.005717995,-0.365771741,0.002578822,-0.005717995,0.034228265,0.002141961,0.004606047,0.001771751,0.034690679,0.007611464,0.012869421,0.02216821,0.001537946,2.65E-04,-7.97E-05,0.0056956,-0.002369007,0.05069106,4.23E-04,1.96E-04,2.69E-05
-6.2,0.003189843,-0.005886354,-0.360596627,0.003189843,-0.005886354,0.03940336,0.005010525,0.005802777,0.001891976,0.040403439,0.009656035,0.015483597,0.01996328,0.001539791,2.52E-04,-2.13E-04,0.006549323,-9.48E-04,0.05277518,5.78E-04,2.22E-04,1.28E-05
-6.1,0.00389839,-0.005899983,-0.355219424,0.00389839,-0.005899983,0.044780571,0.00875213,0.007143712,0.001886372,0.04657053,0.01283748,0.017984967,0.020708767,0.001350506,2.32E-04,-4.25E-04,0.007662411,7.30E-04,0.054783005,7.25E-04,2.46E-04,-1.84E-05
-6,0.004736436,-0.005734058,-0.349632531,0.004736436,-0.005734058,0.050367463,0.01325771,0.008617059,0.001632796,0.053172381,0.017339791,0.020161169,0.024528267,9.58E-04,2.03E-04,-7.31E-04,0.00915822,0.002645726,0.057020318,8.42E-04,2.68E-04,-7.53E-05
-5.9,0.005749112,-0.005367095,-0.343798131,0.005749112,-0.005367095,0.056201864,0.018303139,0.010206324,9.56E-04,0.060176629,0.023279011,0.021708092,0.030961101,3.79E-04,1.65E-04,-0.001139424,0.011175253,0.004751189,0.05977647,9.10E-04,2.86E-04,-1.68E-04
-5.8,0.006995859,-0.00478399,-0.337652773,0.006995859,-0.00478399,0.06234723,0.02355908,0.011890267,-3.79E-04,0.067535133,0.030685583,0.022241804,0.038960049,-3.38E-04,1.19E-04,-0.00165401,0.013859434,0.00696482,0.063265082,9.13E-04,3.01E-04,-3.07E-04
-5.7,0.008550714,-0.003979837,-0.331117749,0.008550714,-0.003979837,0.068882257,0.028618273,0.013642726,-0.002665948,0.075182038,0.039492068,0.021329479,0.046984748,-0.001117081,6.39E-05,-0.002267827,0.017354879,0.009163676,0.067569283,8.40E-04,3.10E-04,-5.02E-04
-5.6,0.010501641,-0.002964212,-0.324114382,0.010501641,-0.002964212,0.075885624,0.033038599,0.015432219,-0.006256117,0.083033492,0.049527492,0.01853825,0.053185561,-0.001862993,-1.91E-06,-0.002964235,0.021793774,0.011181039,0.07260089,6.91E-04,3.13E-04,-7.63E-04
-5.5,0.012948806,-0.001765446,-0.316582292,0.012948806,-0.001765446,0.083417706,0.036397508,0.017221338,-0.011547239,0.090989509,0.060519104,0.013497648,0.05565828,-0.002471073,-7.95E-05,-0.003716554,0.027286062,0.012809511,0.078081743,4.72E-04,3.09E-04,-0.001096794
-5.4,0.01600185,-4.34E-04,-0.308498263,0.01600185,-4.34E-04,0.09150175,0.038351079,0.018965888,-0.018968721,0.098938173,0.072101781,0.005968355,0.052737554,-0.002843174,-1.71E-04,-0.004489181,0.033909729,0.013810795,0.083552703,2.04E-04,2.97E-04,-0.001507079
-5.3,0.019776229,9.54E-04,-0.299892515,0.019776229,9.54E-04,0.100107491,0.038689533,0.020613834,-0.028961303,0.106762112,0.083834697,-0.004092306,0.043288472,-0.002902651,-2.77E-04,-0.005239796,0.041702398,0.013932356,0.088412237,-8.59E-05,2.74E-04,-0.0019939
-5.2,0.024388796,0.00229846,-0.290859997,0.024388796,0.00229846,0.109140016,0.037380501,0.022104165,-0.041952943,0.114346831,0.095224183,-0.016478606,0.026952745,-0.002608295,-4.01E-04,-0.005922512,0.05065495,0.012930039,0.091982277,-3.64E-04,2.41E-04,-0.002552775
-5.1,0.029952858,0.003475812,-0.281563699,0.029952858,0.003475812,0.118436292,0.034592167,0.023365764,-0.058332704,0.121590199,0.105751419,-0.030708271,0.004308952,-0.001964689,-5.43E-04,-0.006491679,0.060707674,0.010594736,0.09359469,-5.96E-04,1.94E-04,-0.003174613
-5,0.036572978,0.004344053,-0.272228956,0.036572978,0.004344053,0.12777105,0.030690438,0.024316512,-0.078424752,0.128412176,0.114902879,-0.046025458,-0.023084446,-0.001027129,-7.05E-04,-0.006905973,0.071749318,0.006780213,0.092688191,-7.48E-04,1.31E-04,-0.003845939
-4.9,0.044339836,0.004750491,-0.263127714,0.044339836,0.004750491,0.136872277,0.026207404,0.024862821,-0.102464904,0.134763692,0.122201515,-0.061438632,-0.052780414,1.00E-04,-8.87E-04,-0.007132326,0.083619221,0.001428709,0.088903009,-7.95E-04,5.20E-05,-0.00454953
-4.8,0.053325478,0.004541467,-0.254554451,0.053325478,0.004541467,0.145445555,0.021782057,0.024899825,-0.130581798,0.14063353,0.127236516,-0.075792457,-0.081668443,0.001272623,-0.001087424,-0.007149233,0.096112384,-0.005409198,0.082159608,-7.26E-04,-4.65E-05,-0.005265407
-4.7,0.063579232,0.003573824,-0.246795148,0.063579232,0.003573824,0.153204858,0.018078333,0.024312459,-0.162784726,0.146052104,0.129689561,-0.087868141,-0.106314075,0.002321115,-0.001302815,-0.006949061,0.108987373,-0.013563553,0.072709046,-5.45E-04,-1.66E-04,-0.005972124
-4.6,0.075124599,0.001727027,-0.24009347,0.075124599,0.001727027,0.159906536,0.015689143,0.022977613,-0.198959302,0.151091173,0.129355739,-0.096502388,-0.123376187,0.003071775,-0.001527544,-0.006539016,0.121976411,-0.022745044,0.061145048,-2.72E-04,-3.07E-04,-0.006648208
-4.5,0.087957285,-0.001085238,-0.234617651,0.087957285,-0.001085238,0.165382355,0.015037894,0.020767514,-0.238871619,0.155858837,0.126157942,-0.100712426,-0.130051766,0.00336922,-0.001753472,-0.005940638,0.134797324,-0.032557171,0.048372367,5.47E-05,-4.72E-04,-0.007273635
-4.4,0.102044545,-0.00490525,-0.230432808,0.102044545,-0.00490525,0.169567198,0.016290573,0.017554327,-0.282180568,0.160489643,0.120153205,-0.099812751,-0.124490593,0.003099312,-0.001970064,-0.005187795,0.147166455,-0.042520339,0.03553165,3.83E-04,-6.58E-04,-0.007831176
-4.3,0.117325865,-0.009724404,-0.227482781,0.117325865,-0.009724404,0.17251721,0.019291261,0.013215967,-0.328457047,0.165130281,0.111530799,-0.093509632,-0.106122029,0.002208731,-0.002164764,-0.004323383,0.158811865,-0.052106355,0.023886583,6.54E-04,-8.65E-04,-0.00830747
-4.2,0.133714974,-0.015480264,-0.225584567,0.133714974,-0.015480264,0.174415424,0.023532174,0.00764289,-0.377208323,0.169922107,0.100601454,-0.081960549,-0.075844129,7.18E-04,-0.002323691,-0.003395031,0.169486097,-0.060780507,0.014684921,8.05E-04,-0.001089573,-0.008693721
-4.1,0.15110305,-0.022058137,-0.224437267,0.15110305,-0.022058137,0.175562724,0.028165889,7.46E-04,-0.427905082,0.174982481,0.087778262,-0.065788804,-0.036040366,-0.001270903,-0.00243257,-0.002450295,0.178977429,-0.068047513,0.009009078,7.81E-04,-0.001327862,-0.008985936
-4,0.169362828,-0.029297248,-0.223645806,0.169362828,-0.029297248,0.176354185,0.032062619,-0.007537908,-0.480008299,0.180387471,0.073549966,-0.046047445,0.009590172,-0.003583874,-0.002477855,-0.001531873,0.187119036,-0.07349658,0.007634542,5.40E-04,-0.001573965,-0.009184668
-3.9,0.188353524,-0.037001189,-0.222757623,0.188353524,-0.037001189,0.177242383,0.033910045,-0.017234251,-0.532993332,0.186158686,0.05844833,-0.024131916,0.056379638,-0.005984111,-0.002447898,-6.73E-04,0.193795161,-0.076840676,0.010914543,6.10E-05,-0.001820922,-0.009294321
-3.8,0.20792599,-0.044951703,-0.221308932,0.20792599,-0.044951703,0.178691074,0.032347486,-0.02832866,-0.586368965,0.19225668,0.043011763,-0.001646996,0.09918228,-0.008197568,-0.002334059,1.04E-04,0.198943847,-0.077944842,0.018707179,-6.51E-04,-0.002060744,-0.009322069
-3.7,0.227928057,-0.052924506,-0.218875781,0.227928057,-0.052924506,0.181124225,0.026121446,-0.040759711,-0.639689371,0.198582517,0.027747942,0.01975987,0.13295625,-0.009941997,-0.00213167,7.92E-04,0.202555897,-0.076839405,0.030356782,-0.001562826,-0.002284776,-0.009276533
-3.6,0.248209357,-0.060705546,-0.215123966,0.248209357,-0.060705546,0.184876025,0.014245662,-0.054416394,-0.692558237,0.204987884,0.01309871,0.038580902,0.153368985,-0.010959745,-0.001840743,0.001398355,0.204670054,-0.073715171,0.044735186,-0.002614916,-0.002484121,-0.009166378
-3.5,0.268625647,-0.068105884,-0.20985204,0.268625647,-0.068105884,0.190147966,-0.003852872,-0.069137623,-0.744625569,0.21129271,-5.90E-04,0.053623805,0.157352767,-0.011050036,-0.001466383,0.001940722,0.205364789,-0.068899988,0.060341423,-0.003723765,-0.002650138,-0.008998996
-3.4,0.289042085,-0.074973591,-0.203021556,0.289042085,-0.074973591,0.19697845,-0.028220251,-0.084714503,-0.795576966,0.217308032,-0.013088984,0.064157902,0.143539609,-0.010096761,-0.001018836,0.002446754,0.204747459,-0.062818384,0.075451195,-0.00479002,-0.002774953,-0.008779448
-3.3,0.3093355,-0.081201158,-0.194770619,0.3093355,-0.081201158,0.205229387,-0.058310139,-0.100895561,-0.845118889,0.222861033,-0.024299628,0.07000976,0.112516399,-0.008088165,-5.13E-04,0.00294818,0.20294179,-0.055938786,0.088300936,-0.005707812,-0.002851963,-0.008509798
-3.2,0.329395354,-0.086727574,-0.185407937,0.329395354,-0.086727574,0.214592054,-0.092977478,-0.11739461,-0.892960843,0.227818889,-0.034252838,0.071593881,0.066860144,-0.005125597,3.16E-05,0.003475911,0.20007463,-0.048714436,0.097286445,-0.006375731,-0.002876279,-0.008188929
-3.1,0.349123478,-0.09153454,-0.175387144,0.349123478,-0.09153454,0.224612862,-0.130536454,-0.133901136,-0.938798402,0.23210835,-0.043100159,0.069872635,0.010938095,-0.001419674,5.93E-04,0.004054899,0.196263364,-0.041525661,0.101153252,-0.006708049,-0.002845081,-0.007812895
-3,0.368432552,-0.095637225,-0.16526337,0.368432552,-0.095637225,0.234736636,-0.168880376,-0.150092433,-0.98229945,0.235728607,-0.051093939,0.066249488,-0.049514855,0.002726344,0.001148591,0.00469967,0.191605001,-0.034630536,0.099155758,-0.006644923,-0.002757835,-0.007375741
-2.9,0.387243837,-0.099070489,-0.155636385,0.387243837,-0.099070489,0.244363621,-0.205654101,-0.165646895,-1.023096063,0.238755847,-0.058559844,0.062408461,-0.108001817,0.006944655,0.00167423,0.005411122,0.186167537,-0.028130105,0.091164722,-0.006160339,-0.002616354,-0.006870721
-2.8,0.405483991,-0.101871967,-0.147086233,0.405483991,-0.101871967,0.252913773,-0.238462928,-0.180257403,-1.06078398,0.241338754,-0.065863824,0.060118753,-0.157988625,0.01083977,0.002148952,0.006175047,0.17998452,-0.021952062,0.077707814,-0.005266781,-0.00242469,-0.006291751
-2.7,0.423081458,-0.104064129,-0.140108541,0.423081458,-0.104064129,0.25989145,-0.265097117,-0.193644041,-1.09493055,0.243685034,-0.073376186,0.061026946,-0.193666357,0.014030232,0.002555017,0.00696261,0.173053078,-0.015854576,0.059935215,-0.004015937,-0.002188857,-0.00563491
-2.6,0.439962924,-0.105637327,-0.135057136,0.439962924,-0.105637327,0.264942855,-0.283748363,-0.205565122,-1.125090425,0.246039841,-0.081435355,0.066458451,-0.210662023,0.016190594,0.002879432,0.007732766,0.165335337,-0.00944961,0.039510794,-0.002495176,-0.001916414,-0.0048998
-2.5,0.456049949,-0.106536046,-0.132100925,0.456049949,-0.106536046,0.267899096,-0.293194061,-0.21582584,-1.150828285,0.248657764,-0.090313974,0.077247936,-0.20660998,0.017088844,0.00311471,0.00843637,0.156763496,-0.002243399,0.018438423,-8.20E-04,-0.001615949,-0.004090573
-2.4,0.471256286,-0.106650218,-0.131200477,0.471256286,-0.106650218,0.268799514,-0.292928724,-0.224283722,-1.171746486,0.251770908,-0.100189736,0.093614779,-0.181509947,0.016614851,0.003259112,0.009021481,0.147247711,0.006309582,-0.001158748,8.77E-04,-0.001296508,-0.00321648
-2.3,0.48548618,-0.105812989,-0.132108241,0.48548618,-0.105812989,0.267891765,-0.283226014,-0.230850656,-1.187513978,0.255556368,-0.111123198,0.115095887,-0.137820913,0.014796271,0.0033164,0.009439249,0.136686704,0.016743692,-0.017281854,0.002457969,-9.67E-04,-0.002291864
-2.2,0.498633534,-0.103805557,-0.134392709,0.498633534,-0.103805557,0.265607297,-0.265122624,-0.235491529,-1.197893731,0.260106977,-0.12304436,0.140544585,-0.080270563,0.011799728,0.003295187,0.00964965,0.124980013,0.029515541,-0.028294899,0.003796544,-6.36E-04,-0.001335558
-2.1,0.510582685,-0.100369193,-0.137485266,0.510582685,-0.100369193,0.26251474,-0.240323141,-0.238219362,-1.202765897,0.265409329,-0.135749244,0.168199967,-0.015393809,0.007916719,0.003208015,0.009626422,0.112041185,0.044939765,-0.033130146,0.004788257,-3.10E-04,-3.70E-04
-2,0.521210253,-0.095223449,-0.140744671,0.521210253,-0.095223449,0.25925532,-0.211034369,-0.239087544,-1.202142642,0.271332432,-0.148907033,0.195825492,0.049152633,0.003535425,0.003070253,0.009360556,0.097810685,0.063133716,-0.031435337,0.005363214,4.07E-06,5.82E-04
-1.9,0.530388117,-0.088089019,-0.143532872,0.530388117,-0.088089019,0.256467134,-0.179744766,-0.238180329,-1.196173911,0.277629095,-0.162077312,0.220908621,0.105424836,-8.99E-04,0.002898905,0.008861959,0.082267706,0.083977782,-0.023644082,0.005493567,3.03E-04,0.001494591
-1.8,0.537987828,-0.078713112,-0.145293549,0.537987828,-0.078713112,0.254706472,-0.148971508,-0.235601612,-1.185141661,0.283950268,-0.174736036,0.240904742,0.146081745,-0.004929618,0.002711345,0.008159019,0.065439725,0.107097384,-0.010959254,0.005196952,5.83E-04,0.00234718
-1.7,0.543885291,-0.066894919,-0.145624846,0.543885291,-0.066894919,0.25437516,-0.121001644,-0.231464119,-1.169444499,0.289870564,-0.186308087,0.253500651,0.165229213,-0.008138915,0.002524027,0.007296127,0.047409085,0.131870807,0.00475061,0.004535123,8.45E-04,0.00312105
-1.6,0.54796654,-0.052508399,-0.144337893,0.54796654,-0.052508399,0.255662113,-0.09765485,-0.225878838,-1.149572918,0.294921522,-0.196203661,0.256866975,0.159120966,-0.010191317,0.002351179,0.006329368,0.028316146,0.157464156,0.021132209,0.003607867,0.001088599,0.003802936
-1.5,0.550133228,-0.035520274,-0.141493946,0.550133228,-0.035520274,0.25850606,-0.080093266,-0.21894669,-1.12607696,0.298628205,-0.203855635,0.249867389,0.126635183,-0.010871314,0.00220358,0.00532084,0.008358741,0.182891107,0.035587028,0.002542769,0.001316093,0.004385532
-1.4,0.550308347,-0.016001021,-0.137415633,0.550308347,-0.016001021,0.262584358,-0.068699517,-0.210752424,-1.099531216,0.300544713,-0.208754997,0.23219687,0.069470477,-0.010107402,0.002087535,0.004332219,-0.012211957,0.207091276,0.045544282,0.001481907,0.001530373,0.004867776
-1.3,0.548440814,0.005872205,-0.132670075,0.548440814,0.005872205,0.267329931,-0.063036343,-0.201361581,-1.070499924,0.300284946,-0.21048199,0.204430117,-0.007964056,-0.007980952,0.002004211,0.003418266,-0.0330988,0.229018423,0.048738094,5.67E-04,0.001734697,0.005254479
-1.2,0.544510186,0.029821269,-0.128025159,0.544510186,0.029821269,0.271974832,-0.061893067,-0.190820531,-1.039505273,0.297546269,-0.208731223,0.167974436,-0.098956143,-0.004718679,0.001949469,0.002621014,-0.053968752,0.247727891,0.04345904,-7.63E-05,0.001932173,0.005555338
-1.1,0.538529277,0.055480968,-0.124382921,0.538529277,0.055480968,0.275617093,-0.063414484,-0.179159731,-1.007003391,0.2921251,-0.203329473,0.12493515,-0.195153728,-6.69E-04,0.00191428,0.0019653,-0.074465036,0.262453589,0.028752611,-3.51E-04,0.002125246,0.005783422
-1,0.530546486,0.08241991,-0.122696646,0.530546486,0.08241991,0.277303338,-0.065299043,-0.166399456,-0.973369938,0.283924612,-0.194245299,0.077912254,-0.287414801,0.00373195,0.001885722,0.001456176,-0.094220671,0.272666507,0.004542513,-1.98E-04,0.002315253,0.005953307
-0.9,0.520645976,0.110166468,-0.123880215,0.520645976,0.110166468,0.276119798,-0.065045786,-0.152557598,-0.93889744,0.27295543,-0.181590571,0.02975537,-0.366753049,0.008010378,0.001848419,0.001078516,-0.112872613,0.278109489,-0.028335514,3.92E-04,0.0025021,0.00607906
-0.8,0.508947134,0.138237432,-0.128719032,0.508947134,0.138237432,0.271280974,-0.060224106,-0.137658594,-0.903802861,0.259330411,-0.165613609,-0.016695212,-0.425277099,0.011699831,0.001786256,7.99E-04,-0.130075807,0.278807047,-0.068194297,0.001383986,0.002684107,0.006172294
-0.7,0.49560234,0.166166604,-0.137792021,0.49560234,0.166166604,0.262207985,-0.048738392,-0.121742519,-0.868247031,0.243254447,-0.146684861,-0.058854867,-0.457021472,0.014391893,0.00168412,5.69E-04,-0.145516303,0.275051064,-0.112645062,0.00269835,0.002858016,0.006240522
-0.6,0.480793774,0.193530917,-0.151412562,0.480793774,0.193530917,0.248587444,-0.029059894,-0.104873406,-0.83236159,0.225009915,-0.125275964,-0.094607416,-0.45857822,0.01577769,0.001529455,3.34E-04,-0.158922763,0.267365443,-0.158821562,0.004218675,0.003019176,0.006285981
-0.5,0.464728862,0.219971672,-0.169595048,0.464728862,0.219971672,0.230404943,-4.02E-04,-0.08714599,-0.796281223,0.204938124,-0.101933755,-0.122468727,-0.429460801,0.015679007,0.001313497,3.27E-05,-0.170075675,0.256453741,-0.203655379,0.005804239,0.003161859,0.006305084
-0.4,0.447635472,0.245209172,-0.192050144,0.447635472,0.245209172,0.207949862,0.03717763,-0.068690005,-0.760177376,0.183417112,-0.077251195,-0.141690765,-0.372161717,0.014065393,0.001032102,-3.88E-04,-0.178813707,0.243134859,-0.244173753,0.007303811,0.003279688,0.006288521
-0.3,0.429756045,0.269049674,-0.218209505,0.429756045,0.269049674,0.181790501,0.082761355,-0.049671787,-0.724289641,0.160836373,-0.051837375,-0.152299408,-0.291899959,0.01105573,6.86E-04,-9.72E-04,-0.185037033,0.228271031,-0.277788294,0.008570631,0.003366122,0.006222043
-0.2,0.411341876,0.291384488,-0.247277513,0.411341876,0.291384488,0.152722493,0.134637183,-0.030292766,-0.68895083,0.137569633,-0.026289012,-0.155063482,-0.196090586,0.006904422,2.82E-04,-0.001746247,-0.188707432,0.212694033,-0.302545167,0.00947678,0.003414965,0.006087804
-0.1,0.392647028,0.312181801,-0.278304636,0.392647028,0.312181801,0.121695377,0.190443937,-0.010785083,-0.654603462,0.113947423,-0.001165311,-0.151396048,-0.093598009,0.0019741,-1.71E-04,-0.002720133,-0.189845416,0.197135352,-0.317310498,0.009925469,0.003420864,0.005866127
0,0.373922765,0.331472158,-0.310275048,0.373922765,0.331472158,0.08972495,0.247376885,0.008595407,-0.621804681,0.090231685,0.023032253,-0.143195249,0.006141111,-0.003301898,-6.56E-04,-0.003881293,-0.188525041,0.182166601,-0.321874161,0.009860047,0.00337976,0.005537513
0.1,0.355409652,0.349327266,-0.342200607,0.355409652,0.349327266,0.057799391,0.302431598,0.027577963,-0.591215732,0.066593527,0.042962767,-0.135776668,0.093738585,-0.008513998,-0.001160737,-0.005112312,-0.184972427,0.168047828,-0.316977006,0.009267264,0.003289113,0.005087769
0.2,0.337311387,0.365814358,-0.373211533,0.337311387,0.365814358,0.02678846,0.352640746,0.0458836,-0.563547649,0.043098459,0.060511196,-0.130395541,0.162698764,-0.013226002,-0.001675839,-0.006426421,-0.179610078,0.15457077,-0.30417402,0.008174215,0.003147278,0.004511564
0.3,0.319805413,0.38097927,-0.402624488,0.319805413,0.38097927,-0.002624495,0.39532089,0.06323121,-0.539555383,0.019711422,0.076639667,-0.127912571,0.207211882,-0.017023822,-0.002179088,-0.007791316,-0.172587627,0.141540175,-0.285619145,0.00665263,0.00295434,0.003800779
0.4,0.303054422,0.394840032,-0.429998755,0.303054422,0.394840032,-0.029998749,0.428307636,0.079348162,-0.520023229,-0.003697234,0.091104907,-0.12987989,0.223437501,-0.019589862,-0.002648501,-0.009126738,-0.164061702,0.128591311,-0.263967492,0.004810635,0.00271259,0.002954277
0.5,0.287203968,0.407372802,-0.455174357,0.287203968,0.407372802,-0.055174358,0.45013652,0.093980982,-0.505718519,-0.027339741,0.103701938,-0.137269626,0.210193255,-0.020718396,-0.00306361,-0.01034694,-0.15420959,0.115224179,-0.242130449,0.002782721,0.002426454,0.001979274
0.6,0.272379845,0.418502718,-0.478283942,0.272379845,0.418502718,-0.078283943,0.460160196,0.106905014,-0.497342252,-0.051491521,0.114262875,-0.150360675,0.169075001,-0.020333771,-0.003407189,-0.01136725,-0.143225326,0.100870092,-0.223001496,7.18E-04,0.002102257,8.92E-04
0.7,0.258686364,0.428101391,-0.499736845,0.258686364,0.428101391,-0.09973684,0.458592134,0.117932461,-0.495480172,-0.076466054,0.122656122,-0.168702422,0.104320773,-0.018496398,-0.003666705,-0.012110701,-0.131316242,0.084966994,-0.209182969,-0.001235463,0.001747824,-2.85E-04
0.8,0.246204838,0.43599087,-0.520176947,0.246204838,0.43599087,-0.120176934,0.446472497,0.126918362,-0.500558417,-0.102585993,0.128786214,-0.191159302,0.022430788,-0.015396068,-0.003835272,-0.012514154,-0.118699557,0.067034036,-0.202738332,-0.002939509,0.001371955,-0.001519225
0.9,0.234992877,0.441953868,-0.540417969,0.234992877,0.441953868,-0.140417963,0.425560699,0.133764199,-0.512807508,-0.13015251,0.132594378,-0.216028142,-0.0684223,-0.011333236,-0.003911935,-0.012533437,-0.105599145,0.046736582,-0.204993024,-0.004282502,9.84E-04,-0.002774932
1,0.225083873,0.44574964,-0.561362147,0.225083873,0.44574964,-0.161362171,0.398164971,0.138419173,-0.532237102,-0.159414797,0.134059742,-0.241211899,-0.15914016,-0.006690156,-0.003901253,-0.012147025,-0.092242265,0.023934639,-0.216402112,-0.005186764,5.92E-04,-0.004012362
1.1,0.216487259,0.447133571,-0.583909869,0.216487259,0.447133571,-0.183909893,0.366925179,0.140879002,-0.55862431,-0.190541567,0.133200933,-0.264427246,-0.240535174,-0.001894605,-0.003812268,-0.011357961,-0.078856172,-0.00128969,-0.23649776,-0.005615444,2.06E-04,-0.005190888
1.2,0.209189147,0.445879281,-0.608868182,0.209189147,0.445879281,-0.208868206,0.334569719,0.141182758,-0.59151578,-0.223596479,0.130077846,-0.283422012,-0.304180351,0.002620348,-0.003657054,-0.010193821,-0.065664622,-0.028626947,-0.263921533,-0.005575077,-1.68E-04,-0.006271426
