Time,X,Y,Z,Rotation 1,Rotation 2,Rotation 3,Elevation
-2.6,0.00380367,-0.126698926,0.038131054,-88.57236319,-60.51107057,269.7428955,-0.017248454
-2.5,0.003931831,-0.143485397,0.04725945,-88.43927013,-54.40880882,269.6373145,-0.01655654
-2.4,0.004405734,-0.154560894,0.052504122,-88.41009156,-50.46824046,269.5326964,-0.015884811
-2.3,0.005242282,-0.158906609,0.053963624,-88.4926344,-48.81222694,269.4420667,-0.015544732
-2.2,0.006400202,-0.156076968,0.051591672,-88.6854643,-49.51071965,269.3782795,-0.015855997
-2.1,0.007772825,-0.146215588,0.045129269,-88.97792617,-52.57813029,269.3520106,-0.017102363
-2,0.009192929,-0.130075663,0.034148272,-89.35107989,-57.97236439,269.3698511,-0.019487972
-1.9,0.010452415,-0.109034896,0.018208979,-89.77943521,-65.59563415,269.4328391,-0.023101517
-1.8,0.011335461,-0.085060887,-0.002885638,-90.2333969,-75.29701628,269.5358178,-0.027895636
-1.7,0.011657659,-0.060564719,-0.028788598,-90.68209252,-86.87680288,269.6678112,-0.033687169
-1.6,0.011297711,-0.038097821,-0.058350794,88.90366835,-79.90766718,89.81355883,-0.040180185
-1.5,0.010207564,-0.019904956,-0.089522831,88.54891515,-65.33478922,89.95602292,-0.047008797
-1.4,0.008395487,-0.00742985,-0.119516157,88.27274329,-49.71053001,90.07938979,-0.053791655
-1.3,0.005892048,-9.37E-04,-0.145244762,88.08759735,-33.35960013,90.17195252,-0.06018634
-1.2,0.002720113,5.86E-04,-0.16395098,87.99961768,-16.61644152,90.2281718,-0.06593083
-1.1,-0.001113586,-8.38E-04,-0.173818216,88.00980149,0.183676087,90.24934539,-0.07086158
-1,-0.005605095,-0.002735231,-0.174353614,88.11556014,16.7130426,90.24259033,-0.074903274
-0.9,-0.010733913,-0.002857214,-0.166406393,88.31212616,32.65918472,90.21835682,-0.078032763
-0.8,-0.016454186,2.64E-04,-0.151834339,88.59327723,47.73163296,90.18698576,-0.080227165
-0.7,-0.022699025,0.007045495,-0.132963911,88.95115866,61.66775628,90.15520489,-0.081411425
-0.6,-0.029386912,0.016898079,-0.112043329,89.37523144,74.23760613,90.12349232,-0.081422082
-0.5,-0.036418188,0.028521864,-0.090851344,89.85066042,85.24784375,90.0851613,-0.080000821
-0.4,-0.04366003,0.040298447,-0.070533164,-89.64315927,85.45529025,270.027489,-0.076824145
-0.3,-0.050929435,0.050659038,-0.051643707,-89.13322418,77.98386243,269.9347965,-0.071565887
-0.2,-0.0579863,0.058346268,-0.034322955,-88.65223543,72.4072452,269.7927696,-0.063979895
-0.1,-0.06454327,0.062548801,-0.018516039,-88.23616079,68.7521446,269.593007,-0.053983548
0,-0.070290446,0.062928408,-0.004168332,-87.92039432,67.0039167,269.3366017,-0.041720862
0.1,-0.074927188,0.059574861,0.008644677,-87.73499566,67.10998954,269.0357592,-0.027586976
0.2,-0.078188732,0.052913796,0.019658582,-87.70013438,68.99097583,268.7130328,-0.012206527
0.3,-0.079873472,0.043630134,0.028449131,-87.82232646,72.5416565,268.3980927,0.003628103
0.4,-0.079865485,0.03259629,0.034527037,-88.09239897,77.6306392,268.122679,0.019056929
0.5,-0.078148536,0.020789718,0.03746523,-88.48597496,84.10490038,267.9147817,0.03326824
0.6,-0.074814424,0.0092043,0.037031416,91.03356722,88.20527468,447.7935236,0.045604977
0.7,-0.070063472,-0.001245097,0.033292115,90.51025179,79.48139507,447.7657657,0.055639429
0.8,-0.064191945,-0.009818383,0.026659286,89.98954548,69.91221125,447.8253659,0.063201465
0.9,-0.057562575,-0.016032653,0.017864056,89.51263436,59.68978131,447.9551668,0.068356591
1,-0.050560355,-0.019714471,0.007860217,89.11187301,49.00621456,448.1312286,0.071342103
1.1,-0.043544486,-0.021008829,-0.002321719,88.80829159,38.05104875,448.3282932,0.072479443
1.2,-0.036811996,-0.020340437,-0.011736655,88.61141822,27.00914808,448.5250778,0.072086021
1.3,-0.030585077,-0.018334236,-0.019666458,88.52108213,16.05879414,448.7081815,0.070409028
1.4,-0.025023729,-0.01571122,-0.02570997,88.53052146,5.369827704,448.873636,0.067597198
1.5,-0.020253267,-0.013180324,-0.029804107,88.62975727,-4.898402925,449.0258673,0.063715923
1.6,-0.016390458,-0.011346075,-0.032176275,88.80819597,-14.59927322,449.1743966,0.058799282
1.7,-0.013554654,-0.010645618,-0.033244953,89.05587229,-23.60124056,449.3291891,0.052922474
1.8,-0.011859303,-0.011319843,-0.033496279,89.36295759,-31.79012511,449.4960643,0.04627248
1.9,-0.011388425,-0.0134147,-0.033367079,89.71798399,-39.0710453,449.6732189,0.039194985
2,-0.01216789,-0.016803442,-0.033159003,90.1054538,-45.36973988,449.850032,0.032201517
2.1,-0.014141438,-0.021219805,-0.032997627,90.50384507,-50.63309732,450.0083285,0.025930902
2.2,-0.017158227,-0.026295196,-0.032837827,90.88496279,-54.82883813,450.1259102,0.021070875
2.3,-0.020974873,-0.031597197,-0.032506514,91.21526391,-57.9444016,450.1814943,0.018255862
2.4,-0.025271839,-0.03666956,-0.03176751,91.45925876,-59.98525529,450.1598016,0.017963238
2.5,-0.029681768,-0.041074082,-0.030391181,91.58455175,-60.97294163,450.0555593,0.020430952
2.6,-0.033825617,-0.044432532,-0.028213277,91.56753092,-60.94317566,449.8755018,0.025614507
2.7,-0.037350982,-0.04646438,-0.025171917,91.39855204,-59.94416487,449.6378181,0.033192078
2.8,-0.039966382,-0.047014192,-0.021317679,91.08536054,-58.03543436,449.3692823,0.042615559
2.9,-0.041465711,-0.046063449,-0.016798543,90.65394531,-55.28706527,449.1007466,0.053195288
3,-0.041739315,-0.043723784,-0.011826808,90.14636663,-51.77920648,448.8620179,0.064199589
3.1,-0.04077132,-0.040212628,-0.006638633,89.61594097,-47.60168519,448.6773091,0.074948516
3.2,-0.038626127,-0.035815559,-0.001456975,89.12045172,-42.85345721,448.562193,0.084884478
3.3,-0.035428971,-0.030842341,0.003533732,88.7146497,-37.64156184,448.5225028,0.09360958
3.4,-0.031345584,-0.025584498,0.008197177,88.44335458,-32.07956463,448.5552809,0.100888452
3.5,-0.026564309,-0.020281792,0.012439705,88.33616159,-26.28537855,448.6511836,0.106623657
3.6,-0.021282051,-0.015103081,0.016194239,88.40454545,-20.37857631,448.7975887,0.110816316
3.7,-0.015693748,-0.010144053,0.019400435,88.64155984,-14.47740898,448.9815598,0.11352613
3.8,-0.009984517,-0.005440539,0.021988427,89.0238387,-8.695775941,449.1918614,0.114842484
3.9,-0.004323638,-9.92E-04,0.023872161,89.515223,-3.140363886,449.4197643,0.114872709
4,0.001140182,0.003209664,0.024955207,90.07128236,2.091808613,449.6586228,0.113746821
4.1,0.006282844,0.007162557,0.02514792,90.64381614,6.915373155,449.9025767,0.111632054
4.2,0.011008893,0.010840533,0.024391016,91.18491738,11.2580753,450.145144,0.108747088
4.3,0.015256139,0.014198508,0.022678452,91.65027183,15.06178119,450.3781901,0.105365895
4.4,0.019000821,0.017186761,0.020072544,92.00168506,18.28311355,450.5918452,0.101804437
4.5,0.022262238,0.019771487,0.016706362,92.20910425,20.89379627,450.7754749,0.098389062
4.6,0.025104841,0.021954194,0.01277191,92.25234618,22.88076147,450.9195236,0.095411531
4.7,0.027635472,0.023783553,0.00849614,92.12264771,24.24601554,451.0176529,0.093080493
4.8,0.029994072,0.025355689,0.004109653,91.82401818,25.00619511,451.0686949,0.091481359
4.9,0.032337628,0.02680213,-1.86E-04,91.37409313,25.19174573,451.0776356,0.09055536
5,0.03481907,0.028267944,-0.004243747,90.80410702,24.84564468,451.0554511,0.090104369
5.1,0.037564531,0.029885191,-0.007991829,90.15753399,24.02162675,451.0175094,0.089822016
5.2,0.040653303,0.031747952,-0.011434925,89.48713726,22.78196108,450.9811182,0.089345283
5.3,0.044104755,0.033894807,-0.014647837,88.85045435,21.19487954,450.962465,0.088315929
5.4,0.047875002,0.036302645,-0.017756395,88.30408019,19.33185495,450.9738919,0.086438937
5.5,0.05186408,0.03889282,-0.020912044,87.89741073,17.26489798,451.0219627,0.083526218
5.6,0.05593193,0.041547682,-0.024264872,87.6667689,15.06414272,451.106739,0.079517711
5.7,0.059919633,0.044133142,-0.02794024,87.63091724,12.79581385,451.2224493,0.074477638
5.8,0.063671522,0.046521973,-0.03202305,87.78860582,10.52071882,451.359176,0.068569521
5.9,0.0670541,0.048612881,-0.036551502,88.11872252,8.29324728,451.505185,0.062018095
6,0.069968961,0.050341949,-0.041519631,88.58307293,6.160801176,451.6492336,0.055068402
6.1,0.072358675,0.051685307,-0.04688561,89.13122976,4.163541592,451.7823882,0.047951637
6.2,0.074206471,0.052654143,-0.052582003,89.70687128,2.334318108,451.8988634,0.0408642
6.3,0.075531766,0.053284835,-0.058524571,90.25443388,0.698653327,451.9959477,0.033961818
6.4,0.076383963,0.053627919,-0.064617924,90.7252798,-0.725280713,452.0730879,0.02736592
6.5,0.076836623,0.053739186,-0.070758514,91.08238941,-1.926703517,452.1306254,0.021175976
6.6,0.076982975,0.053675011,-0.076836951,91.30322992,-2.902245776,452.1685807,0.015480192
6.7,0.076932438,0.053492367,-0.082742274,91.38058181,-3.655870706,452.1859909,0.010358037
6.8,0.076807112,0.053252015,-0.088370137,91.32148018,-4.19862187,452.1809844,0.005871257
6.9,0.076736555,0.053022314,-0.093635477,91.14485149,-4.548146129,452.1516692,0.002044275
7,0.076849677,0.052880611,-0.098488189,90.87826921,-4.727981594,452.0975194,-0.001160946
7.1,0.077263296,0.052909829,-0.102928959,90.55441579,-4.766663517,452.0208437,-0.003867684
7.2,0.078067929,0.053189296,-0.107021168,90.20774954,-4.696720245,451.9278849,-0.006296227
7.3,0.079312705,0.053780716,-0.110895015,89.87154031,-4.553670471,451.8290384,-0.008757708
7.4,0.080992006,0.054711882,-0.114741013,89.57546527,-4.375101579,451.7380807,-0.011626779
7.5,0.083036825,0.055962134,-0.118791774,89.34365548,-4.199882894,451.6702296,-0.015294852
7.6,0.085313745,0.057453733,-0.123293608,89.19320007,-4.067494618,451.6395553,-0.020110607
7.7,0.087633297,0.059052575,-0.128471583,89.13301244,-4.017413536,451.6560433,-0.026318231
7.8,0.089768209,0.060580052,-0.134493619,89.16313358,-4.088433843,451.7230748,-0.034005622
7.9,0.091480047,0.061835237,-0.141439766,89.2745203,-4.317801414,451.8357866,-0.043073935
8,0.092551097,0.062624253,-0.149282828,89.44953707,-4.74005993,451.9808803,-0.053236564
8.1,0.092816614,0.062791526,-0.1578843,89.66326052,-5.38555763,452.1379542,-0.06405053
8.2,0.092191987,0.06224674,-0.167007461,89.88576759,-6.278662494,452.2823239,-0.074977155
8.3,0.090689331,0.060981642,-0.176346481,90.08517496,-7.435805822,452.3888407,-0.085463221
8.4,0.08841937,0.059072625,-0.185567364,90.23146396,-8.863573198,452.4361261,-0.095029398
8.5,0.085576527,0.056667887,-0.194354698,90.30038739,-10.55708531,452.4104309,-0.103350673
8.6,0.082408227,0.05396108,-0.202456772,90.27715792,-12.4989448,452.3084152,-0.110314103
8.7,0.079172544,0.051156364,-0.209721997,90.15920738,-14.65894175,452.1382137,-0.116042539
8.8,0.076091148,0.048431505,-0.216120288,89.95749141,-16.994653,451.9186163,-0.120878463
8.9,0.073306285,0.04590591,-0.221745834,89.69601811,-19.45293371,451.676247,-0.12532888
9,0.070850462,0.043619297,-0.226799727,89.40937556,-21.97217556,451.4412954,-0.129979151
9.1,0.068635464,0.041524321,-0.231555164,89.1385449,-24.48509266,451.2424003,-0.135389522
9.2,0.066463582,0.039493907,-0.236310169,88.92532005,-26.92171825,451.1016164,-0.141991747
9.3,0.064059317,0.037341889,-0.241336316,88.80618106,-29.21228878,451.0303229,-0.150003964
9.4,0.061115693,0.034853786,-0.246832252,88.80650891,-31.2896874,451.0269351,-0.159379421
9.5,0.05734637,0.031823456,-0.252890766,88.93596148,-33.091242,451.0767955,-0.169799162
9.6,0.052533917,0.028090104,-0.259485215,89.1859669,-34.55978048,451.1544479,-0.180711225
9.7,0.0465656,0.023569446,-0.266477108,89.5297713,-35.64397739,451.2278793,-0.191410483
9.8,0.039450631,0.018272711,-0.273642361,89.92528707,-36.29815925,451.2640315,-0.201145708
9.9,0.031316634,0.012308791,-0.280710012,90.32039985,-36.48183328,451.2345524,-0.209235098
10,0.022386886,0.005868,-0.287404239,90.66012663,-36.15924686,451.1207956,-0.215169633
10.1,0.012943376,-8.10E-04,-0.293481529,90.89455238,-35.29925091,450.917051,-0.218685693
10.2,0.00328294,-0.007476408,-0.298754722,90.98630231,-33.8756824,450.6314057,-0.219794108
10.3,-0.006325559,-0.013915997,-0.303100616,90.91644997,-31.86834444,450.2841315,-0.218761146
10.4,-0.015675677,-0.019978331,-0.306450129,90.68772742,-29.26458071,449.9038744,-0.21604623
10.5,-0.024644231,-0.025596647,-0.308765113,90.32465506,-26.06118271,449.522463,-0.212209473
10.6,-0.033196349,-0.0307886,-0.310008436,89.87034502,-22.26645426,449.1693764,-0.207807667
10.7,-0.041375984,-0.03564107,-0.310115427,89.38065461,-17.90202656,448.8669424,-0.203298897
10.8,-0.049285918,-0.040282656,-0.308974356,88.9164408,-13.00416535,448.6272164,-0.198973274
10.9,-0.057062704,-0.044849433,-0.306421012,88.5353504,-7.624306237,448.4510385,-0.194920863
11,-0.064851373,-0.049450278,-0.302249938,88.2843068,-1.82871186,448.3293041,-0.191039416
11.1,-0.072783321,-0.054138333,-0.296240717,88.19391607,4.302769021,448.2459826,-0.187075854
11.2,-0.080958627,-0.058894552,-0.28819406,88.27545487,10.67870195,448.182093,-0.18268873
11.3,-0.089433178,-0.063627526,-0.27797094,88.52078161,17.19861441,448.1196378,-0.177515632
11.4,-0.098210581,-0.068190366,-0.265524954,88.90479533,23.75582824,448.0446696,-0.17123034
11.5,-0.107239097,-0.072411254,-0.250920802,89.38981389,30.24034495,447.9487669,-0.163579153
11.6,-0.116414085,-0.076129995,-0.234334052,89.93094246,36.54156329,447.8289996,-0.154392771
11.7,-0.125585362,-0.07923127,-0.216032445,90.48137375,42.55071932,447.6864808,-0.143577515
11.8,-0.134568185,-0.081666119,-0.196344703,90.99695058,48.16305503,447.5242775,-0.131095359
11.9,-0.143155292,-0.083457075,-0.175625354,91.43949219,53.27967609,447.3454085,-0.116944741
12,-0.151128039,-0.084687255,-0.154225156,91.77878867,57.80923898,447.1517317,-0.101152635
12.1,-0.158265695,-0.085477918,-0.132473394,91.99357763,61.66950481,446.9439778,-0.083783442
12.2,-0.164353877,-0.085961461,-0.110674985,92.07179013,64.78879073,446.7230485,-0.064963312
12.3,-0.169194058,-0.086256675,-0.089119673,92.01070091,67.10728478,446.4920105,-0.044911689
12.4,-0.172615841,-0.086451478,-0.068097495,91.81705139,68.57818651,446.2581107,-0.023967273
12.5,-0.174492344,-0.086595595,-0.047912393,91.5072545,69.16853342,446.0339302,-0.002594895
12.6,-0.174757212,-0.08670263,-0.028886171,91.10735375,68.85962446,445.8370159,0.0186366
12.7,-0.173419759,-0.086758748,-0.011347674,90.65234021,67.64704048,445.687824,0.039108083
